currency_code,customer_id,customer_note,datetime,device_type,discount_code,is_new_customer,is_online,order_id,payment_method,product_id,quantity,referral_source,region_id,unit_price,_kafka_key,_kafka_partition,_kafka_offset,total_sale_value
USD,CUST-4150,Gift for my team,2026-05-04T08:11:00Z,tablet,,FALSE,TRUE,e7324981-a9f0-419f-b708-d0a333451fff,paypal,PY-STREAM-005,3,paid_search,US-TX,59.99,US-TX,0,0,179.97
USD,CUST-1106,Gift for my team,2026-05-04T08:23:00Z,mobile,,FALSE,TRUE,d61943e0-f543-4b5f-9c9a-18605ea4cfe5,paypal,PY-DATA-002,1,paid_search,US-TX,49.99,US-TX,0,1,49.99
CAD,CUST-2133,Learning at my own pace,2026-05-04T08:28:00Z,desktop,,FALSE,TRUE,14da1915-8e74-47be-9e10-f7275d31af46,paypal,PY-NLP-006,1,organic,CA-QC,54.99,CA-QC,0,2,54.99
CAD,CUST-8062,,2026-05-04T08:54:00Z,tablet,,FALSE,TRUE,1ecfc8b-998c-4f43-8a66-19e1fa7d5fa8,paypal,PY-SQL-004,1,organic,CA-ON,forty-four,CA-ON,0,3,0.0
USD,CUST-5333,Highly recommend,2026-05-04T08:40:00Z,mobile,,FALSE,TRUE,d77ed935-9b28-431d-bc25-0a3fd98f4154,paypal,PY-STREAM-005,1,organic,US-CA,59.99,US-CA,0,4,59.99
USD,CUST-8573,Learning at my own pace,2026-05-04T08:41:00Z,mobile,,FALSE,TRUE,24b91995-25f8-4ad7-8fa6-2e4c15750e5e,apple_pay,PY-VIZ-003,1,paid_search,US-MO,39.99,US-MO,0,5,39.99
CAD,CUST-8062,,2026-05-04T08:54:00Z,tablet,,FALSE,TRUE,1ec0fc8b-998c-4f43-8a66-19e1fa7d5fa8,paypal,PY-SQL-004,1,organic,CA-ON,44.99,CA-ON,0,6,44.99
CAD,CUST-9348,For my study group,2026-05-04T09:07:00Z,desktop,,FALSE,FALSE,392dd49b-b385-499c-9b4a-a38387fa39ae,credit_card,PY-INTRO-001,1,paid_search,CA-ON,29.99,CA-ON,0,7,29.99
USD,CUST-5889,,2026-05-04T09:15:00Z,tablet,,FALSE,TRUE,02782ab7-dd7d-4ebe-8abc-ef81cdc4193b,paypal,PY-VIZ-003,1,organic,US-CA,39.99,US-CA,0,8,39.99
CAD,CUST-4770,Excellent content,2026-05-04T09:19:00Z,desktop,,FALSE,TRUE,67bd3492-cc96-429a-9a91-1b4d2132d261,credit_card,PY-VIZ-003,1,paid_search,CA-ON,39.99,CA-ON,0,9,39.99
